"Holdings and weightings as of 7:28 PM ET 06/16/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AEE","Ameren Corp","2.20%","72.71","+0.16","+0.22%","1.00 M","58.74 - 87.66",
"AEP","American Electric Power","4.97%","82.34","+0.74","+0.91%","1.04 M","65.14 - 104.97",
"AES","AES Corp","1.12%","13.48","-0.18","-1.32%","4.98 M","8.11 - 21.23",
"CMS","CMS Energy Corp","2.07%","59.17","+0.04","+0.06%","696.78 K","46.03 - 69.17",
"CNP","Centerpoint Energy Inc","1.14%","18.51","+0.12","+0.63%","3.77 M","11.58 - 30.71",
"D","Dominion Energy Inc","8.61%","84.38","-0.54","-0.64%","1.46 M","57.79 - 90.89",
"DTE","DTE Energy Co","2.56%","107.83","-0.15","-0.14%","314.42 K","71.21 - 135.67",
"DUK","Duke Energy Corp","7.81%","86.43","-0.52","-0.60%","1.87 M","62.13 - 103.79",
"ED","Consolidated Edison Inc","3.13%","75.58","-0.79","-1.03%","753.13 K","62.03 - 95.10",
"EIX","Edison Intl","2.67%","60.05","-0.47","-0.78%","1.69 M","43.63 - 78.93",
"ETR","Entergy Corp","2.40%","96.98","-0.94","-0.96%","534.11 K","75.20 - 135.55",
"FE","FirstEnergy Corp","2.70%","40.28","-0.23","-0.57%","2.34 M","32.00 - 52.52",
"NEE","NextEra Energy Inc","14.95%","249.68","+1.51","+0.61%","1.00 M","174.80 - 283.35",
"NI","Nisource Inc","1.09%","23.63","-0.02","-0.06%","1.21 M","19.56 - 30.67",
"NRG","NRG Energy","1.05%","33.62","-0.14","-0.41%","1.36 M","19.54 - 41.78",
"PEG","Public Service Enterprise Grp","3.16%","50.57","-0.15","-0.30%","904.34 K","34.75 - 63.88",
"PNW","Pinnacle West Capital (AZ)","1.07%","76.57","-0.66","-0.85%","484.41 K","60.05 - 105.51",
"PPL","PPL Corp","2.57%","26.99","-0.19","-0.70%","2.15 M","18.12 - 36.83",
"SO","Southern Co","7.27%","56.18","-0.04","-0.07%","2.71 M","41.96 - 71.10",
"SRE","Sempra Energy","4.32%","124.48","+0.12","+0.10%","1.12 M","88.00 - 161.87",
"WEC","WEC Energy Group Inc","3.53%","90.51","-0.31","-0.34%","637.44 K","68.01 - 109.53",
"ES","Eversource Energy","3.36%","85.19","+1.01","+1.19%","729.56 K","60.69 - 99.42",
"AWK","American Water Works Co Inc","2.89%","129.85","+0.19","+0.14%","389.78 K","92.00 - 141.70",
"XEL","Xcel Energy Inc","4.12%","64.03","+0.29","+0.46%","1.54 M","46.58 - 72.14",
"EVRG","Evergy Inc.","1.68%","60.09","+0.12","+0.20%","836.58 K","42.01 - 76.57",
"LNT","Alliant Energy Corp","1.45%","48.91","-0.09","-0.18%","668.91 K","37.66 - 60.28",
"ATO","Atmos Energy Corp","1.50%","101.65","-0.61","-0.60%","297.21 K","77.92 - 121.08",
"EXC","Exelon Corp","4.62%","38.49","-0.10","-0.26%","2.67 M","29.28 - 50.86",
